CPS Data Collected in Year: 2007,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,
Totals,"296,824","60,804","46,769","70,266","60,681","58,304",,,,,,,,,,,,,,,
State,"4,532",909,773,"1,251",922,677,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,
AK,659,147,77,146,172,117,,,,,,,,,,,,,,,
AZ,"6,269","1,407","1,082","1,293","1,392","1,095",,,,,,,,,,,,,,,
AR,"2,758",571,514,737,570,365,,,,,,,,,,,,,,,
CA,"36,208","7,869","6,790","6,477","7,712","7,359",,,,,,,,,,,,,,,
CO,"4,803",979,645,917,"1,033","1,229",,,,,,,,,,,,,,,
CT,"3,462",671,459,758,654,920,,,,,,,,,,,,,,,
DE,862,167,133,235,169,158,,,,,,,,,,,,,,,
DC,569,92,80,103,75,220,,,,,,,,,,,,,,,
FL,"18,062","3,333","2,651","4,794","3,719","3,565",,,,,,,,,,,,,,,
GA,"9,347","2,063","1,436","2,197","1,767","1,884",,,,,,,,,,,,,,,
HI,"1,255",247,150,327,280,251,,,,,,,,,,,,,,,
ID,"1,475",334,196,332,333,279,,,,,,,,,,,,,,,
IL,"12,644","2,667","1,739","2,838","2,770","2,630",,,,,,,,,,,,,,,
IN,"6,337","1,283",977,"1,881","1,236",960,,,,,,,,,,,,,,,
IA,"2,919",584,355,818,674,489,,,,,,,,,,,,,,,
KS,"2,723",577,332,633,606,574,,,,,,,,,,,,,,,
KY,"4,106",812,789,"1,109",803,594,,,,,,,,,,,,,,,
LA,"4,212",913,721,"1,013",891,674,,,,,,,,,,,,,,,
ME,"1,315",223,181,372,288,250,,,,,,,,,,,,,,,
MD,"5,613","1,115",842,"1,207","1,050","1,399",,,,,,,,,,,,,,,
MA,"6,335","1,188",831,"1,262","1,068","1,986",,,,,,,,,,,,,,,
MI,"9,970","2,029","1,241","2,719","2,212","1,770",,,,,,,,,,,,,,,
MN,"5,149","1,029",589,"1,014","1,329","1,188",,,,,,,,,,,,,,,
MS,"2,892",630,606,681,581,395,,,,,,,,,,,,,,,
MO,"5,800","1,139",846,"1,592","1,148","1,075",,,,,,,,,,,,,,,
MT,931,178,106,221,242,185,,,,,,,,,,,,,,,
NE,"1,767",360,211,444,433,318,,,,,,,,,,,,,,,
NV,"2,535",536,400,673,531,395,,,,,,,,,,,,,,,
NH,"1,309",238,158,306,299,307,,,,,,,,,,,,,,,
NJ,"8,660","1,713","1,218","1,997","1,467","2,265",,,,,,,,,,,,,,,
NM,"1,943",407,357,401,426,352,,,,,,,,,,,,,,,
NY,"19,040","3,673","3,112","4,661","3,355","4,238",,,,,,,,,,,,,,,
NC,"8,851","1,782","1,573","2,076","1,839","1,582",,,,,,,,,,,,,,,
ND,617,117,80,137,163,120,,,,,,,,,,,,,,,
OH,"11,319","2,264","1,576","3,296","2,275","1,909",,,,,,,,,,,,,,,
OK,"3,492",735,544,938,740,535,,,,,,,,,,,,,,,
OR,"3,715",707,526,774,930,779,,,,,,,,,,,,,,,
PA,"12,345","2,260","1,785","3,871","2,128","2,301",,,,,,,,,,,,,,,
RI,"1,054",187,196,228,193,250,,,,,,,,,,,,,,,
SC,"4,226",849,752,"1,102",833,691,,,,,,,,,,,,,,,
SD,770,160,102,200,171,138,,,,,,,,,,,,,,,
TN,"5,920","1,196","1,109","1,510","1,108",998,,,,,,,,,,,,,,,
TX,"23,236","5,482","4,573","4,629","4,662","3,889",,,,,,,,,,,,,,,
UT,"2,537",670,306,526,623,411,,,,,,,,,,,,,,,
VT,620,105,78,164,116,158,,,,,,,,,,,,,,,
VA,"7,538","1,491","1,117","1,730","1,392","1,808",,,,,,,,,,,,,,,
WA,"6,318","1,245",820,"1,351","1,596","1,305",,,,,,,,,,,,,,,
WV,"1,814",316,333,652,316,197,,,,,,,,,,,,,,,
WI,"5,476","1,062",636,"1,532","1,247",999,,,,,,,,,,,,,,,
WY,516,97,66,139,143,71,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2007",,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,
