CPS Data Collected in Year: 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,,,,,
The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. The redesigned income questions were implemented to a subsample using a probability split panel design.,,,,,,,,,,,,,,,,,,,,,,,,,
"The source of data for this table is the portion of the CPS ASEC sample which received the redesigned income questions, approximately 30,000 addresses.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Totals,Educational Attainment,,,,,,,,,,,,,,,,,,,,,,,
,,"Children
under
15","No high
school
diploma","High
school or
equivalent","Some
college,
less
than
4-yr
degree","Bachelor's
degree or
higher",,,,,,,,,,,,,,,,,,,
Totals,"313,443","60,999","41,754","70,891","69,017","70,781",,,,,,,,,,,,,,,,,,,
State,"4,807",943,649,"1,353","1,021",841,,,,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,,,,,
AK,696,155,82,153,163,144,,,,,,,,,,,,,,,,,,,
AZ,"6,532","1,338","1,015","1,318","1,641","1,218",,,,,,,,,,,,,,,,,,,
AR,"2,858",582,455,841,619,361,,,,,,,,,,,,,,,,,,,
CA,"38,240","7,576","5,955","6,368","9,241","9,100",,,,,,,,,,,,,,,,,,,
CO,"5,303","1,012",545,954,"1,131","1,661",,,,,,,,,,,,,,,,,,,
CT,"3,639",625,469,779,695,"1,072",,,,,,,,,,,,,,,,,,,
DE,913,166,114,214,191,228,,,,,,,,,,,,,,,,,,,
DC,647,98,71,90,100,288,,,,,,,,,,,,,,,,,,,
FL,"19,511","3,397","2,387","5,131","4,310","4,286",,,,,,,,,,,,,,,,,,,
GA,"9,855","2,093","1,434","2,204","2,047","2,076",,,,,,,,,,,,,,,,,,,
HI,"1,339",265,108,341,325,301,,,,,,,,,,,,,,,,,,,
ID,"1,611",362,216,355,399,278,,,,,,,,,,,,,,,,,,,
IL,"12,665","2,516","1,544","2,765","2,705","3,135",,,,,,,,,,,,,,,,,,,
IN,"6,562","1,314",874,"1,807","1,406","1,161",,,,,,,,,,,,,,,,,,,
IA,"3,082",601,319,763,786,613,,,,,,,,,,,,,,,,,,,
KS,"2,760",611,251,636,595,667,,,,,,,,,,,,,,,,,,,
KY,"4,501",879,628,"1,397",956,641,,,,,,,,,,,,,,,,,,,
LA,"4,539",923,570,"1,069",997,979,,,,,,,,,,,,,,,,,,,
ME,"1,333",211,138,376,328,280,,,,,,,,,,,,,,,,,,,
MD,"5,956","1,112",691,"1,208","1,208","1,737",,,,,,,,,,,,,,,,,,,
MA,"6,735","1,136",822,"1,134","1,462","2,179",,,,,,,,,,,,,,,,,,,
MI,"10,074","1,810","1,215","2,489","2,256","2,304",,,,,,,,,,,,,,,,,,,
MN,"5,355","1,072",498,980,"1,407","1,398",,,,,,,,,,,,,,,,,,,
MS,"2,898",615,628,665,591,399,,,,,,,,,,,,,,,,,,,
MO,"5,955","1,164",710,"1,483","1,422","1,177",,,,,,,,,,,,,,,,,,,
MT,980,188,91,277,183,240,,,,,,,,,,,,,,,,,,,
NE,"1,868",389,216,397,448,418,,,,,,,,,,,,,,,,,,,
NV,"2,783",560,329,679,656,559,,,,,,,,,,,,,,,,,,,
NH,"1,301",220,137,296,307,342,,,,,,,,,,,,,,,,,,,
NJ,"8,728","1,588","1,186","1,875","1,410","2,668",,,,,,,,,,,,,,,,,,,
NM,"2,079",436,300,475,465,403,,,,,,,,,,,,,,,,,,,
NY,"19,410","3,557","2,714","3,908","3,838","5,392",,,,,,,,,,,,,,,,,,,
NC,"9,678","1,888","1,366","2,572","2,185","1,667",,,,,,,,,,,,,,,,,,,
ND,718,141,47,165,207,158,,,,,,,,,,,,,,,,,,,
OH,"11,299","2,181","1,333","3,143","2,470","2,171",,,,,,,,,,,,,,,,,,,
OK,"3,700",798,505,904,848,644,,,,,,,,,,,,,,,,,,,
OR,"3,979",709,493,879,961,937,,,,,,,,,,,,,,,,,,,
PA,"12,815","2,232","1,386","3,799","2,486","2,912",,,,,,,,,,,,,,,,,,,
RI,"1,035",172,164,208,232,259,,,,,,,,,,,,,,,,,,,
SC,"4,676",912,659,"1,272","1,000",832,,,,,,,,,,,,,,,,,,,
SD,828,177,97,178,196,179,,,,,,,,,,,,,,,,,,,
TN,"6,278","1,263",946,"1,577","1,346","1,145",,,,,,,,,,,,,,,,,,,
TX,"26,226","5,784","4,552","5,298","5,609","4,983",,,,,,,,,,,,,,,,,,,
UT,"2,923",777,277,526,721,622,,,,,,,,,,,,,,,,,,,
VT,629,99,54,165,142,169,,,,,,,,,,,,,,,,,,,
VA,"8,241","1,530",923,"1,888","1,744","2,156",,,,,,,,,,,,,,,,,,,
WA,"6,877","1,319",686,"1,384","1,647","1,841",,,,,,,,,,,,,,,,,,,
WV,"1,814",319,307,558,327,303,,,,,,,,,,,,,,,,,,,
WI,"5,619","1,067",539,"1,455","1,412","1,147",,,,,,,,,,,,,,,,,,,
WY,595,115,59,140,172,109,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2014",,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,,,,,
