observation_date,AKNGSP_20190501,ALNGSP_20190501,ARNGSP_20190501,AZNGSP_20190501,CANGSP_20190501,CONGSP_20190501,CTNGSP_20190501,DENGSP_20190501,FLNGSP_20190501,GANGSP_20190501,HINGSP_20190501,IANGSP_20190501,IDNGSP_20190501,ILNGSP_20190501,INNGSP_20190501,KSNGSP_20190501,KYNGSP_20190501,LANGSP_20190501,MANGSP_20190501,MDNGSP_20190501,MENGSP_20190501,MINGSP_20190501,MNNGSP_20190501,MONGSP_20190501,MSNGSP_20190501,MTNGSP_20190501,NCNGSP_20190501,NDNGSP_20190501,NENGSP_20190501,NHNGSP_20190501,NJNGSP_20190501,NMNGSP_20190501,NVNGSP_20190501,NYNGSP_20190501,OHNGSP_20190501,OKNGSP_20190501,ORNGSP_20190501,PANGSP_20190501,RINGSP_20190501,SCNGSP_20190501,SDNGSP_20190501,TNNGSP_20190501,TXNGSP_20190501,UTNGSP_20190501,VANGSP_20190501,VTNGSP_20190501,WANGSP_20190501,WINGSP_20190501,WVNGSP_20190501,WYNGSP_20190501
1997-01-01,25744.8,104087.4,59865.6,132418.0,1070523.6,136675.3,138648.8,32967.7,401723.0,242596.2,37654.9,82572.2,29439.0,415770.7,170545.3,74664.6,104584.0,116494.7,237316.4,159335.8,30630.6,299843.2,155921.9,163151.9,58339.9,19307.1,233924.3,15730.3,49886.0,38214.9,307895.7,52511.1,60593.4,718322.5,343467.2,79096.0,100888.6,356146.1,28929.9,97393.0,19000,154412.9,610256.5,57699.7,217251.9,15415,193897.6,153240.7,38839.7,14724.3
1998-01-01,24170.4,109404.3,62442.5,143392.4,1147841.6,150381.7,145495.4,36783.2,430064.2,264894.9,37624.4,84546.9,30983.9,436166.7,184582.1,78478.8,109656.2,120429.3,249154.2,169980.1,32166.6,312611.0,166292.7,169368.7,60992.3,20444.9,245907.3,16792.7,51829.3,40557.8,319946.2,50682.3,65315.0,745223.7,361629.1,81209.1,105111.5,372738.5,30719.9,103642.6,20184.7,167308.4,645696.9,62291.4,233095.5,16073.1,210205,162523,40086.1,14928.2
1999-01-01,24732.6,115030.9,66816.7,155344.5,1247093.0,164226.8,152338.1,40363.6,458318.6,288994.3,39250.4,87662.3,34138.2,459322.1,193100.6,81853.0,115258.5,125989.9,264779.4,180207.0,34382.1,337561.2,174650.0,177360.5,63827.2,20829.9,264063.5,16983.7,53689.3,41880.0,336649.9,53092.8,71534.9,793721.1,376034.8,84062.9,107546.3,389715.7,32295.5,110251.8,21050.8,175819.8,681335.4,66022.6,249798.3,17159.3,230554.9,172258.1,41831,15710.9
2000-01-01,26778.3,119242.4,68770.0,164611.6,1366561.0,180605.5,165898.7,43389.4,489488.1,307611.6,41500.2,93028.6,37992.8,487212.7,203052.9,85853.2,114293.2,132809.9,289926.5,192106.3,36841.0,351572.7,189964.8,187296.8,65645.9,21885.2,275694.2,17976.1,56503.7,45225.5,362006.9,55232.9,76627.1,838660.3,391137.8,90792.7,117258.3,407652.8,34516.4,115246.8,22690.7,181629.5,738871,70291.8,266886.4,18311.9,237831.8,180539,42606.9,17205.4
2001-01-01,28420.4,122449.3,70601.4,171474.2,1384111.2,187571.9,173127.2,46448.3,516689.6,318753.0,42894.3,94770.8,37384.1,502260.3,204581.1,88380.4,117430.8,137845.1,296834.1,205449.8,38500.8,348529.0,194646.5,191199.0,67028.6,22851.7,288683.5,18919.6,59467.0,46629.7,373755.6,55986.2,80426.6,877149.3,395622.5,96767.0,117274.7,424965.2,35992.1,119301.4,23512.8,185774.7,773006.7,73226,284001.9,19274.1,239425.7,187939.3,43977.6,18660.7
2002-01-01,29605.3,127792.3,73950.4,179413.3,1436430.9,190962.8,176208.2,45757.9,548540.3,326929.6,45447.1,98976.1,38715.3,514063.8,212430.3,90949.3,122193.1,139537.9,303967.1,218299.3,40183.7,362271.1,202766.0,196597.6,68865.8,23880.5,298110.0,20209.0,61604.4,48678.5,388337.7,58055.5,84733.5,886792.7,411967.0,99163.0,121229.5,436985.5,38132.1,124160.1,26337.5,195289.2,787257.8,75998.8,293275.9,20163.3,248189.1,194813.1,45433.7,19115.6
2003-01-01,31799.7,133739.2,78218.8,192751.2,1527294.0,196483.7,181339.7,47761.6,583725.7,340410.6,48929.1,105073.5,40341.8,529455.4,223495.3,94603.5,126970.6,154361.6,315299.8,228690.0,41838.5,373839.3,215155.9,204009.5,73332.2,25637.6,309318.2,22077.4,66415.6,51378.4,405198.5,62895.9,90778.8,905280.6,424915.5,105243.3,127211.6,455106.8,40272.8,130337.4,27445,203833.7,829764.4,79149.1,309981.2,21130.1,258262.8,203134.7,46667.9,21027.5
2004-01-01,34970.7,146524.7,84624.5,205420.8,1632216.9,203980.2,198662.4,51449.4,635525.5,364255.2,53761.8,116652.5,43739.0,558748.4,236935.8,97676.4,134194.1,169873.2,330669.9,246762.0,44526.3,381228.9,230282.0,214218.1,77214.4,27939.2,328037.6,23167.8,70288.8,54126.7,422889.1,69740.7,104420.6,955192.0,445541.1,113148.7,136238.5,481738.9,43245.6,135160.1,29628.9,218020.6,906321,85701.9,332250.6,22666,270115.2,215138.9,49271.7,23186.7
2005-01-01,39774.8,155970.4,89610.0,228231.2,1753866.2,219907.9,208766.2,52154.1,696741.1,386785.0,58667.9,122224.0,47962.9,586693.9,243738.3,103936.6,142649.0,197566.5,345586.0,265929.5,45874.8,394229.0,242862.7,223497.1,80995.7,30529.7,352394.5,24417.3,73959.0,56352.1,440773.8,73684.2,117856.1,1015046.3,465809.3,124563.3,143662.6,505584.6,45162.4,142616.6,30659.4,228099.4,986401.3,94194.9,360299.8,23509.3,296100.7,225697.9,53259,27177.6
2006-01-01,44435.3,163853.6,94384.5,248230.7,1874737.3,231205.9,222889.1,55067.4,744464.2,402144.6,62365.0,126884.2,50976.3,621859.9,255054.6,112650.3,151006.8,205799.5,361266.0,279468.3,47921.1,395451.0,249735.0,231771.5,85869.0,32933.3,383522.3,26120.0,78150.0,59411.6,464458.9,77426.1,127575.7,1071393.1,477180.4,137083.6,155153.3,526396.3,47711.8,150659.1,31898.6,240193.9,1085294.9,106124.2,379129.4,24309.8,317167.2,235708.6,56530,32405.1
2007-01-01,48972.6,169678.4,96948.2,262322.0,1955856.0,246043.5,237542.7,56278.5,768661.0,415131.9,65233.5,136977.0,53852.1,647862.1,269053.6,122453.3,154531.7,206641.1,379877.2,287872.8,49148.6,403735.8,258827.2,240158.8,91057.6,36074.1,396347.6,28679.7,83122.8,60732.7,480539.0,80572.8,131599.8,1108896.0,490965.0,144893.3,161512.0,560753.4,47845.6,159362.5,34701.6,244252.4,1178583.1,114652.7,392917.3,24696.8,346442.8,243766.7,58635.8,36602.5
2008-01-01,54752.4,172686.8,98955.3,259366.7,1990678.2,255566.8,240910.9,54787.5,750501.6,412911.9,66864.7,136553.6,55546.0,646366.6,272845.6,127682.4,158099.0,215068.9,388583.2,296435.4,49973.8,386053.9,264688.0,250581.1,96843.6,36862.5,413363.3,31722.1,85200.6,60918.7,495121.8,83724.2,129372.4,1099234.4,495742.6,159660.0,165189.1,582240.2,47107.8,161804.7,36668.5,251609,1237394.9,115985.4,399032.1,25678,355677.8,244759.9,62066.7,42540.4
2009-01-01,49585.9,168348.0,97058.9,243929.4,1920061.8,248593.6,236393.2,56871.2,724582.2,407024.5,65692.0,136251.2,53775.0,644690.1,261238.3,124340.7,155779.7,206884.9,391265.1,302507.3,50556.5,365591.7,259958.7,251780.0,93205.6,35983.9,406477.4,32002.5,86830.3,61937.4,486512.8,82017.4,121109.5,1152812.1,480322.0,145736.4,160640.7,577379.8,47901.4,159835.6,36193.1,250544.4,1163401.3,113332.9,408918.7,25867.8,353632,245539,62957.8,36042.2
2010-01-01,52882.5,174753.0,101690.0,248210.0,1974614.5,255140.5,237653.4,57447.4,737791.1,416883.8,68196.9,141482.0,55170.7,662637.8,280120.7,127744.8,164605.5,225677.0,409762.5,316451.5,51710.7,386625.9,271821.2,258544.1,95208.4,38054.6,415206.4,35426.3,91812.8,64151.6,495149.0,83989.2,123598.1,1213946.9,497208.2,152911.4,163827.6,599312.8,49571.8,163856.8,37484.4,255935.8,1237196.8,117960.5,422902,27108.4,365551.9,254354.1,65274.1,37401.2
