CPS Data Collected in Year: 2014,,,,,,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,,,,,,
The 2014 CPS ASEC included redesigned questions for income and health insurance coverage. The redesigned income questions were implemented to a subsample using a probability split panel design.,,,,,,,,,,,,,,,,,,,,,,,,,
"The source of data for this table is the portion of the CPS ASEC sample which received the income questions consistent with the 2013 CPS ASEC, approximately 68,000 addresses.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Totals,Health Insurance Coverage in 2013,,,,,,,,,,,,,,,,,,,,,,,
,,Insured,Uninsured,,,,,,,,,,,,,,,,,,,,,,
Totals,"313,395","271,442","41,953",,,,,,,,,,,,,,,,,,,,,,
State,"4,755","4,009",746,,,,,,,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,,,,,,
AK,700,591,109,,,,,,,,,,,,,,,,,,,,,,
AZ,"6,655","5,357","1,297",,,,,,,,,,,,,,,,,,,,,,
AR,"2,941","2,511",430,,,,,,,,,,,,,,,,,,,,,,
CA,"38,114","32,345","5,770",,,,,,,,,,,,,,,,,,,,,,
CO,"5,294","4,627",667,,,,,,,,,,,,,,,,,,,,,,
CT,"3,546","3,217",328,,,,,,,,,,,,,,,,,,,,,,
DE,908,844,63,,,,,,,,,,,,,,,,,,,,,,
DC,651,599,52,,,,,,,,,,,,,,,,,,,,,,
FL,"19,379","15,761","3,618",,,,,,,,,,,,,,,,,,,,,,
GA,"9,787","8,197","1,590",,,,,,,,,,,,,,,,,,,,,,
HI,"1,370","1,298",72,,,,,,,,,,,,,,,,,,,,,,
ID,"1,592","1,365",226,,,,,,,,,,,,,,,,,,,,,,
IL,"12,797","11,373","1,424",,,,,,,,,,,,,,,,,,,,,,
IN,"6,404","5,638",766,,,,,,,,,,,,,,,,,,,,,,
IA,"3,071","2,793",278,,,,,,,,,,,,,,,,,,,,,,
KS,"2,841","2,569",272,,,,,,,,,,,,,,,,,,,,,,
KY,"4,371","3,818",553,,,,,,,,,,,,,,,,,,,,,,
LA,"4,515","3,951",564,,,,,,,,,,,,,,,,,,,,,,
ME,"1,312","1,186",127,,,,,,,,,,,,,,,,,,,,,,
MD,"5,945","5,325",620,,,,,,,,,,,,,,,,,,,,,,
MA,"6,595","6,358",237,,,,,,,,,,,,,,,,,,,,,,
MI,"9,848","8,797","1,051",,,,,,,,,,,,,,,,,,,,,,
MN,"5,405","5,039",366,,,,,,,,,,,,,,,,,,,,,,
MS,"2,920","2,523",397,,,,,,,,,,,,,,,,,,,,,,
MO,"6,005","5,372",633,,,,,,,,,,,,,,,,,,,,,,
MT,"1,002",850,152,,,,,,,,,,,,,,,,,,,,,,
NE,"1,845","1,664",181,,,,,,,,,,,,,,,,,,,,,,
NV,"2,760","2,202",559,,,,,,,,,,,,,,,,,,,,,,
NH,"1,318","1,173",145,,,,,,,,,,,,,,,,,,,,,,
NJ,"8,849","7,779","1,070",,,,,,,,,,,,,,,,,,,,,,
NM,"2,100","1,761",339,,,,,,,,,,,,,,,,,,,,,,
NY,"19,518","17,711","1,807",,,,,,,,,,,,,,,,,,,,,,
NC,"9,639","8,049","1,589",,,,,,,,,,,,,,,,,,,,,,
ND,711,629,83,,,,,,,,,,,,,,,,,,,,,,
OH,"11,477","9,966","1,511",,,,,,,,,,,,,,,,,,,,,,
OK,"3,722","3,196",526,,,,,,,,,,,,,,,,,,,,,,
OR,"3,941","3,433",508,,,,,,,,,,,,,,,,,,,,,,
PA,"12,759","11,529","1,230",,,,,,,,,,,,,,,,,,,,,,
RI,"1,048",957,91,,,,,,,,,,,,,,,,,,,,,,
SC,"4,684","3,967",717,,,,,,,,,,,,,,,,,,,,,,
SD,836,764,72,,,,,,,,,,,,,,,,,,,,,,
TN,"6,456","5,601",854,,,,,,,,,,,,,,,,,,,,,,
TX,"26,423","21,065","5,358",,,,,,,,,,,,,,,,,,,,,,
UT,"2,878","2,549",329,,,,,,,,,,,,,,,,,,,,,,
VT,620,572,48,,,,,,,,,,,,,,,,,,,,,,
VA,"8,181","7,264",917,,,,,,,,,,,,,,,,,,,,,,
WA,"6,862","6,085",777,,,,,,,,,,,,,,,,,,,,,,
WV,"1,833","1,597",236,,,,,,,,,,,,,,,,,,,,,,
WI,"5,632","5,132",500,,,,,,,,,,,,,,,,,,,,,,
WY,580,482,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
The 2014 CPS ASEC (which refers to health insurance coverage estimates of the calendar year 2013) is the first to use the redesigned  measures of health insurance coverage.,,,,,,,,,,,,,,,,,,,,,,,,,
"Following more than a decade of research, evaluation, and consultation with outside experts, the Census Bureau implemented an approach shown to improve the accuracy of health insurance coverage measurement.",,,,,,,,,,,,,,,,,,,,,,,,,
"Due to these changes, data for the 2014 CPS ASEC are not comparable to data from earlier years.",,,,,,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2014",,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,,,,,,
