CPS Data Collected in Year: 2018,,,,,,,,,,,,,,,,,,,,
Persons - All,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
(Numbers in Thousands),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Totals,Health Insurance Coverage in 2017,,,,,,,,,,,,,,,,,,
,,Insured,Uninsured,,,,,,,,,,,,,,,,,
Totals,"323,156","294,613","28,543",,,,,,,,,,,,,,,,,
State,"4,819","4,290",529,,,,,,,,,,,,,,,,,
AL,,,,,,,,,,,,,,,,,,,,
AK,719,628,90,,,,,,,,,,,,,,,,,
AZ,"7,003","6,336",667,,,,,,,,,,,,,,,,,
AR,"2,933","2,641",292,,,,,,,,,,,,,,,,,
CA,"39,315","36,166","3,149",,,,,,,,,,,,,,,,,
CO,"5,538","5,047",491,,,,,,,,,,,,,,,,,
CT,"3,558","3,368",190,,,,,,,,,,,,,,,,,
DE,970,885,85,,,,,,,,,,,,,,,,,
DC,692,653,39,,,,,,,,,,,,,,,,,
FL,"20,937","18,318","2,619",,,,,,,,,,,,,,,,,
GA,"10,267","8,969","1,298",,,,,,,,,,,,,,,,,
HI,"1,406","1,323",83,,,,,,,,,,,,,,,,,
ID,"1,733","1,554",179,,,,,,,,,,,,,,,,,
IL,"12,624","11,707",917,,,,,,,,,,,,,,,,,
IN,"6,550","6,183",367,,,,,,,,,,,,,,,,,
IA,"3,055","2,970",85,,,,,,,,,,,,,,,,,
KS,"2,876","2,595",280,,,,,,,,,,,,,,,,,
KY,"4,409","4,216",192,,,,,,,,,,,,,,,,,
LA,"4,546","4,076",469,,,,,,,,,,,,,,,,,
ME,"1,319","1,203",116,,,,,,,,,,,,,,,,,
MD,"5,981","5,641",340,,,,,,,,,,,,,,,,,
MA,"6,813","6,620",192,,,,,,,,,,,,,,,,,
MI,"9,911","9,305",606,,,,,,,,,,,,,,,,,
MN,"5,622","5,339",282,,,,,,,,,,,,,,,,,
MS,"2,951","2,617",334,,,,,,,,,,,,,,,,,
MO,"5,992","5,490",502,,,,,,,,,,,,,,,,,
MT,"1,040",966,75,,,,,,,,,,,,,,,,,
NE,"1,878","1,662",216,,,,,,,,,,,,,,,,,
NV,"2,988","2,671",317,,,,,,,,,,,,,,,,,
NH,"1,336","1,246",90,,,,,,,,,,,,,,,,,
NJ,"9,023","8,384",639,,,,,,,,,,,,,,,,,
NM,"2,045","1,843",201,,,,,,,,,,,,,,,,,
NY,"19,756","18,671","1,085",,,,,,,,,,,,,,,,,
NC,"10,309","9,267","1,042",,,,,,,,,,,,,,,,,
ND,743,673,70,,,,,,,,,,,,,,,,,
OH,"11,532","10,875",657,,,,,,,,,,,,,,,,,
OK,"3,828","3,358",470,,,,,,,,,,,,,,,,,
OR,"4,212","3,965",247,,,,,,,,,,,,,,,,,
PA,"12,599","11,773",826,,,,,,,,,,,,,,,,,
RI,"1,047",973,73,,,,,,,,,,,,,,,,,
SC,"4,971","4,457",514,,,,,,,,,,,,,,,,,
SD,871,788,83,,,,,,,,,,,,,,,,,
TN,"6,707","6,044",663,,,,,,,,,,,,,,,,,
TX,"28,101","23,418","4,683",,,,,,,,,,,,,,,,,
UT,"3,131","2,801",330,,,,,,,,,,,,,,,,,
VT,614,585,28,,,,,,,,,,,,,,,,,
VA,"8,262","7,496",766,,,,,,,,,,,,,,,,,
WA,"7,438","7,026",412,,,,,,,,,,,,,,,,,
WV,"1,798","1,642",156,,,,,,,,,,,,,,,,,
WI,"5,829","5,380",449,,,,,,,,,,,,,,,,,
WY,562,506,56,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Inferences should be made with extreme caution when the cell sizes are small. To examine cell sizes, select  ""Display Unweighted Record Counts"" under the Statistics Option.",,,,,,,,,,,,,,,,,,,,
"Some CPS questions, such as income, ask about the previous year. Others, such as age, refer to the time of the survey. The column labels indicate any subject with a reference year which differs from the survey year.",,,,,,,,,,,,,,,,,,,,
"Current Population Survey, Annual Social and Economic Supplement, 2018",,,,,,,,,,,,,,,,,,,,
Source: U.S. Census Bureau,,,,,,,,,,,,,,,,,,,,
