Source: CPS Annual Social and Economic (March) Supplement 201903
Weight used: MARSUPWT
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Any health insurance coverage last year (COV)","","",""
"Selected Geographies","Total","Infant born after calendar year","Yes","No"
" -> Total","323663087","685440","295547015","27430632"
"Alabama","4880027","20963","4400192","458872"
"Alaska","722044","1077","636078","84889"
"Arizona","7252270","24358","6663884","564028"
"Arkansas","2916874","4435","2673639","238800"
"California","39212429","63663","36213361","2935405"
"Colorado","5738848","4546","5233169","501133"
"Connecticut","3417415","0","3245341","172074"
"Delaware","977489","3331","911819","62339"
"Florida","21159207","30730","18136169","2992308"
"Georgia","10439138","17086","8972072","1449980"
"Hawaii","1394381","1708","1346260","46413"
"Idaho","1766578","6283","1578779","181516"
"Illinois","12594442","24744","11802805","766893"
"Indiana","6590292","19137","6068514","502641"
"Iowa","3115150","3521","2972199","139430"
"Kansas","2844373","8837","2615496","220040"
"Kentucky","4452583","16456","4185980","250147"
"Louisiana","4516021","12827","4137021","366173"
"Maine","1324567","2350","1227040","95177"
"Maryland","6046284","14035","5618628","413621"
"Massachusetts","6896780","19429","6713541","163810"
"Michigan","9943837","21256","9416475","506106"
"Minnesota","5747555","22046","5508890","216619"
"Mississippi","2904604","2067","2545379","357158"
"Missouri","6032459","23951","5646628","361880"
"Montana","1041924","1684","981719","58521"
"Nebraska","1895234","8648","1751385","135201"
"Nevada","3016927","3372","2764333","249222"
"New Hampshire","1349907","3814","1274534","71559"
"New Jersey","8789722","5831","8305610","478281"
"New Mexico","2059843","4527","1850806","204510"
"New York","19381134","29203","18334645","1017286"
"North Carolina","10375202","31470","9345058","998674"
"North Dakota","745122","2306","704642","38174"
"Ohio","11464089","28123","10869262","566704"
"Oklahoma","3874059","4893","3266427","602739"
"Oregon","4187141","3507","3914585","269049"
"Pennsylvania","12542771","27831","11786839","728101"
"Rhode Island","1037383","2379","996873","38131"
"South Carolina","5044954","8071","4613805","423078"
"South Dakota","853265","1939","777212","74114"
"Tennessee","6694064","17804","6191660","484600"
"Texas","28529793","68174","23552741","4908878"
"Utah","3177011","8085","2848982","319944"
"Vermont","617918","458","589669","27791"
"Virginia","8399755","21244","7645173","733338"
"Washington","7562424","20652","7051481","490291"
"West Virginia","1768449","4426","1657991","106032"
"Wisconsin","5804049","7240","5499927","296882"
"Wyoming","565300","923","502297","62080"
