"","state","year","stateyear","Governor","Senate","House","year_end","year_beg","total_gov","total_gov_detail","median_hh_income","poverty_rate","uninsured_rate","no_hsd_rate","bach_plus_rate","gdp","total_population","gdp_pc","unemployment","partisanship_score"
"1","Alabama","1992","Alabama1992","R","D","D","92",19,"Split","R GOV / D LEG",25808,17.250354945575,NA,NA,NA,NA,4226,NA,7.58019776994947,0
"2","Alabama","1993","Alabama1993","D","D","D","93",19,"D","D GOV / D LEG",25082,17.39443378119,NA,NA,NA,NA,4168,NA,7.34321237783228,-1
"3","Alabama","1994","Alabama1994","D","D","D","94",19,"D","D GOV / D LEG",27196,16.3759013724122,NA,NA,NA,NA,4299,NA,6.20893554620041,-1
"4","Alabama","1995","Alabama1995","R","D","D","95",19,"Split","R GOV / D LEG",25991,20.0636942675159,NA,NA,NA,NA,4396,NA,5.97675197006545,0
"5","Alabama","1996","Alabama1996","R","D","D","96",19,"Split","R GOV / D LEG",30302,13.9736965711602,NA,NA,NA,NA,4258,NA,5.23033478187727,0
"6","Alabama","1997","Alabama1997","R","D","D","97",19,"Split","R GOV / D LEG",31939,15.6728729672402,NA,NA,NA,104087.4,4243,24531.5578600047,4.99204854954576,0
"7","Alabama","1998","Alabama1998","R","D","D","98",19,"Split","R GOV / D LEG",36266,14.5346062052506,NA,NA,NA,109404.3,4190,26110.8114558473,4.39504778864298,0
"8","Alabama","1999","Alabama1999","D","D","D","99",19,"D","D GOV / D LEG",36251,15.2233363719234,11.9589977220957,NA,NA,115030.9,4388,26214.8814949863,4.73798951173109,-1
"9","Alabama","2000","Alabama2000","D","D","D","00",20,"D","D GOV / D LEG",35424,13.3226691042048,12.4885844748858,NA,NA,119242.4,4376,27249.1773308958,4.57659607082804,-1
"10","Alabama","2001","Alabama2001","D","D","D","01",20,"D","D GOV / D LEG",35160,15.897670169027,12.3518687329079,NA,NA,122449.3,4378,27969.2325262677,5.12985481239727,-1
"11","Alabama","2002","Alabama2002","D","D","D","02",20,"D","D GOV / D LEG",37603,14.4404332129964,12.2297297297297,NA,NA,127792.3,4432,28834.0027075812,5.89897923283168,-1
"12","Alabama","2003","Alabama2003","R","D","D","03",20,"Split","R GOV / D LEG",37255,15.0101879103464,12.4915292523153,20.2702702702703,15.6531531531532,133739.2,4417,30278.2884310618,6.01318256317136,0
"13","Alabama","2004","Alabama2004","R","D","D","04",20,"Split","R GOV / D LEG",36629,16.9032830523514,11.9902482269504,17.7095098260673,15.3151118138694,146524.7,4508,32503.2608695652,5.69021249189078,0
"14","Alabama","2005","Alabama2005","R","D","D","05",20,"Split","R GOV / D LEG",37150,16.6629637858254,14.0362511052166,18.9937943262411,13.5416666666667,155970.4,4501,34652.3883581426,4.48429072354702,0
"15","Alabama","2006","Alabama2006","R","D","D","06",20,"Split","R GOV / D LEG",37952,14.342453662842,15.0706090026478,18.1034482758621,14.500442086649,163853.6,4532,36154.8102383054,4.03983930318584,0
"16","Alabama","2007","Alabama2007","R","D","D","07",20,"Split","R GOV / D LEG",42212,14.4984669294788,11.7067833698031,17.0564872021183,14.9382171226831,169678.4,4566,37161.2790188349,3.97520329911767,0
"17","Alabama","2008","Alabama2008","R","D","D","08",20,"Split","R GOV / D LEG",44476,14.3129770992366,11.4830508474576,17.1115973741794,16.3676148796499,172686.8,4716,36617.2179813401,5.65185489106538,0
"18","Alabama","2009","Alabama2009","R","D","D","09",20,"Split","R GOV / D LEG",39980,16.5413533834586,16.4489183979439,18.2838983050847,15.7838983050847,168348,4655,36164.9838882922,11.0148918238057,0
"19","Alabama","2010","Alabama2010","R","D","D","10",20,"Split","R GOV / D LEG",40933,17.2143311426754,15.5183379266483,16.5345898479332,14.9496680231313,174753,4717,37047.4878100488,10.5409186163106,0
"20","Alabama","2011","Alabama2011","R","R","R","11",20,"R","R GOV / R LEG",42590,15.3620146904512,13.0535152151102,16.747933008268,16.3663345346619,181349.8,4765,38058.7198321091,9.63635042925177,1
"21","Alabama","2012","Alabama2012","R","R","R","12",20,"R","R GOV / R LEG",43464,16.1605657237937,14.7602242059373,16.01259181532,17.4396642182581,186299,4808,38747.7121464226,7.95129614577154,1
"22","Alabama","2013","Alabama2013","R","R","R","13",20,"R","R GOV / R LEG",47320,18.5354691075515,15.6887486855941,16.0265725555325,19.1820635250156,191481,4807,39833.7840649053,7.21973321067157,1
"23","Alabama","2014","Alabama2014","R","R","R","14",20,"R","R GOV / R LEG",42278,17.7964323189927,10.9479865771812,13.5011441647597,17.4953193259829,194059.7,4765,40726.0650577125,6.78217102407302,1
"24","Alabama","2015","Alabama2015","R","R","R","15",20,"R","R GOV / R LEG",44509,16.2655601659751,10.7364501448076,15.9186241610738,18.1208053691275,200460.8,4820,41589.377593361,6.08791299420422,1
"25","Alabama","2016","Alabama2016","R","R","R","16",20,"R","R GOV / R LEG",47221,16.220701099357,8.70914356640463,15.7219693835333,17.4803475382706,203398.4,4821,42190.0850445966,5.84408754510936,1
"26","Alabama","2017","Alabama2017","R","R","R","17",20,"R","R GOV / R LEG",50865,15.3093105602999,10.977381199419,14.0877120397187,18.7008688456765,211665.9,4801,44087.8775255155,4.43325193745601,1
"27","Alabama","2018","Alabama2018","R","R","R","18",20,"R","R GOV / R LEG",49936,15.9729341808489,9.40306272895621,13.7372898941689,19.775887113509,221126.3,4877,45340.6397375436,3.93344299736633,1
"28","Alabama","2019","Alabama2019","R","R","R","19",20,"R","R GOV / R LEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"29","Alabama","2020","Alabama2020","R","R","R","20",20,"R","R GOV / R LEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"30","Alaska","1992","Alaska1992","I","S","D","92",19,"Split","I GOV / SPLIT LEG",41802,10.1398601398601,NA,NA,NA,NA,572,NA,8.91036711046738,0
"31","Alaska","1993","Alaska1993","I","R","D","93",19,"Split","I GOV / SPLIT LEG",42931,9.12280701754386,NA,NA,NA,NA,570,NA,7.69144845514365,0
"32","Alaska","1994","Alaska1994","R","R","D","94",19,"Split","R GOV / SPLIT LEG",45367,10.3040540540541,NA,NA,NA,NA,592,NA,7.57347761524749,0
"33","Alaska","1995","Alaska1995","D","R","R","95",19,"Split","D GOV / R LEG",47954,7.14285714285714,NA,NA,NA,NA,630,NA,7.3221330878485,0
"34","Alaska","1996","Alaska1996","D","R","R","96",19,"Split","D GOV / R LEG",52779,8.21917808219178,NA,NA,NA,NA,657,NA,7.59268106865695,0
"35","Alaska","1997","Alaska1997","D","R","R","97",19,"Split","D GOV / R LEG",47994,8.75,NA,NA,NA,25744.8,640,40226.25,7.14265189948183,0
"36","Alaska","1998","Alaska1998","D","R","R","98",19,"Split","D GOV / R LEG",50692,9.3603744149766,NA,NA,NA,24170.4,641,37707.3322932917,6.34659828410422,0
"37","Alaska","1999","Alaska1999","D","R","R","99",19,"Split","D GOV / R LEG",51396,7.61904761904762,18.3544303797468,NA,NA,24732.6,630,39258.0952380952,6.47568903860126,0
"38","Alaska","2000","Alaska2000","D","R","R","00",20,"Split","D GOV / R LEG",52847,7.58064516129032,17.3076923076923,NA,NA,26778.3,620,43190.8064516129,6.37380246689472,0
"39","Alaska","2001","Alaska2001","D","R","R","01",20,"Split","D GOV / R LEG",57363,8.54430379746835,14.8264984227129,NA,NA,28420.4,632,44968.9873417722,6.42888924152051,0
"40","Alaska","2002","Alaska2002","D","R","R","02",20,"Split","D GOV / R LEG",52774,8.86075949367089,17.9527559055118,NA,NA,29605.3,632,46843.8291139241,7.29807813088808,0
"41","Alaska","2003","Alaska2003","R","R","R","03",20,"R","R GOV / R LEG",51837,9.64230171073095,17.5193798449612,13.0708661417323,14.6456692913386,31799.7,643,49455.2099533437,7.82285953767159,1
"42","Alaska","2004","Alaska2004","R","R","R","04",20,"R","R GOV / R LEG",55063,9.10493827160494,15.2542372881356,13.4883720930233,15.968992248062,34970.7,648,53967.1296296296,7.45375553463621,1
"43","Alaska","2005","Alaska2005","R","R","R","05",20,"R","R GOV / R LEG",55891,10.0456621004566,16.8437025796662,12.326656394453,18.0277349768875,39774.8,657,60540.0304414003,6.89228840343744,1
